feature,perm_mean,perm_std,is_v2
geo_country_model,0.047526388412291495,0.0026746478400786165,False
traffic_source_clean_model,0.025814419463596704,0.005097125551411021,True
user_previous_avg_pageviews,0.02465467428078571,0.0013641560067975417,False
totals_hits,0.02400456641326544,0.0009241747392507538,False
device_category_model,0.013295130671093744,0.0015317273612662997,False
totals_time_on_site,0.013158305245442519,0.0006074678843253464,False
user_days_since_previous_session,0.011649696778655969,0.0007173101294079034,False
user_previous_avg_time_on_site,0.010851277830227716,0.0016643874011858446,False
totals_pageviews,0.009610642088397292,0.0007846231999265482,False
browser_family_model,0.007200866368360323,0.0024543551458485685,True
os_family_model,0.005664600270488559,0.0011413952002636923,True
session_hour,0.005419975971859048,0.001017445906887858,False
user_previous_total_revenue,0.005302432068793625,0.0008113106422821673,False
channelGrouping_model,0.0040774395867237525,0.0008502667608895825,False
visit_number,0.003969486810856476,0.0006388135958596793,False
user_previous_purchase_count,0.0027350426333073554,9.07616676200759e-05,False
user_days_since_first_session,0.0024366023934723675,0.0006438080899647311,False
is_direct_traffic,0.001603679903664404,0.00030782071211297323,True
session_day_of_week,0.001489245292734695,0.0006470393567934323,False
is_referral_traffic,0.0011353228149603573,0.00015368123530948204,True
traffic_medium_clean_model,0.0010372033250769825,0.00025143285911588184,True
user_previous_bounce_rate,0.0010200794969875526,0.0016904548055969913,False
has_previous_purchase,0.0009526075835144504,1.733340168100458e-05,False
has_geo_region,0.0007213945125942895,0.00017826493178421334,True
has_geo_metro,0.0006384665916696536,0.0001847373614834754,True
has_traffic_ad_content,0.0005917795170459789,0.0005092179881626109,True
has_custom_dimension,0.0005811686907384317,0.0003128535811741884,True
is_bounce,0.0004152656566756174,0.00012587558320171268,False
totals_new_visits,0.00035339637252935764,8.930444871175454e-05,False
traffic_channel_type_model,0.00016131706320202666,0.00025946527761147836,False
has_traffic_keyword,6.812339637542742e-05,0.00022089108415724275,True
is_paid_traffic,3.473099184708728e-06,3.461921705638084e-05,True
session_month,0.0,0.0,False
is_socially_engaged,0.0,0.0,True
is_first_session,0.0,0.0,False
has_traffic_campaign,-1.3488579318143844e-05,0.00025780278396406165,False
is_organic_traffic,-0.0001373307655783723,7.463742757888834e-05,True
has_gclid,-0.00036371655966094263,0.00017640929302993898,False
has_referral_path,-0.00042427139004990735,0.00031850486234055015,False
user_days_since_previous_purchase,-0.0009728009921979919,0.0005723157016797684,False
user_previous_sessions,-0.0055918946458286874,0.0007846682708355623,False
