feature,cls_gain_pct,reg_gain_pct,cls_perm_mean,reg_perm_mean,cls_gain_rank,cls_perm_rank
visit_number,39.27691433749764,6.2484856557506525,0.0773246045787952,0.0028074687266632426,1,1
geo_country_model,3.4049941454605186,2.0264195268170813,0.055129283483505834,0.00011595553743852794,6,2
totals_new_visits,0.4587669641324826,0.08327539201996477,0.04217837221015605,-0.00024762944504983506,12,3
has_referral_path,2.4847210221362994,0.47906607550393077,0.040165954852857746,0.0018133301233613786,7,4
channelGrouping_model,7.642216121943194,3.372896688764538,0.039446984191354936,0.0003528413985319112,4,5
totals_hits,24.637887080909167,2.583459507036995,0.0342041691003268,0.009049309320686727,2,6
traffic_channel_type_model,4.200656618773047,0.19294461118134032,0.026060596181063145,-0.00019272820401887713,5,7
device_category_model,11.264428050630164,4.097919455770512,0.02366233298973453,0.012148663336607801,3,8
user_previous_avg_pageviews,0.3571699888501711,2.014971395448342,0.020048522937250297,0.0025337456375913447,19,9
user_previous_total_revenue,0.47826296078053687,54.58181262509698,0.018207963357439218,0.05575277967611105,11,10
totals_time_on_site,0.4553693844017315,0.985122984594448,0.01666159085638752,0.0008937863116192269,13,11
user_days_since_previous_purchase,1.4510334866016559,1.6214854523156816,0.016061170192793427,0.003384570147986277,8,12
user_days_since_previous_session,0.3591950824998412,0.7211297613986845,0.0126328202815508,0.004207204267870623,18,13
user_previous_purchase_count,0.6999635928329063,2.1709178748323223,0.008979063915644988,0.016624030009572223,9,14
user_previous_avg_time_on_site,0.3756753786460648,3.7968663842610044,0.008528282367434189,-0.000806012732695871,16,15
user_days_since_first_session,0.41488374667498235,3.759681847288131,0.0067692692962553255,0.002767946225424045,15,16
totals_pageviews,0.5730221612838302,0.6638433218989648,0.00603242776049046,-5.1374833287187725e-05,10,17
session_hour,0.37170990079011823,0.8387111345177926,0.005693296144896168,0.005038525244840719,17,18
user_previous_sessions,0.14947400506453629,4.2539168319118055,0.005408967241531712,0.002755911409985945,21,19
user_previous_bounce_rate,0.42705838390825157,1.8132459219671073,0.0026000051820497944,-0.0006123161136407873,14,20
session_day_of_week,0.11116415196571418,1.1023229449861802,0.0009668233425288054,0.003878816113395955,22,21
session_month,0.2983929064875182,2.5690436359744235,0.0,0.0,20,22
is_first_session,0.0,0.0,0.0,0.0,27,22
is_bounce,0.03359566800716413,0.0,-6.201919490023133e-06,0.0,24,24
has_gclid,0.0323502576320631,0.0,-0.00011911488289823025,0.0,25,25
has_traffic_campaign,0.037275451932175484,0.02246097066312024,-0.0001590709039775401,8.586873119178495e-05,23,26
has_previous_purchase,0.0038191501582342,0.0,-0.0009735034978971046,0.0,26,27
