feature,cls_perm_mean,cls_perm_std
visit_number,0.0773246045787952,0.0010163753761594416
geo_country_model,0.055129283483505834,0.00308283903525339
totals_new_visits,0.04217837221015605,0.002004087086079341
has_referral_path,0.040165954852857746,0.0015051879501602793
channelGrouping_model,0.039446984191354936,0.0024690999945087373
totals_hits,0.0342041691003268,0.0018744220025280053
traffic_channel_type_model,0.026060596181063145,0.0021645419813158197
device_category_model,0.02366233298973453,0.0028475678512804403
user_previous_avg_pageviews,0.020048522937250297,0.0018598907444607193
user_previous_total_revenue,0.018207963357439218,0.0007598422116870846
totals_time_on_site,0.01666159085638752,0.0012507736938734365
user_days_since_previous_purchase,0.016061170192793427,0.0017162683607199632
user_days_since_previous_session,0.0126328202815508,0.001245256248515583
user_previous_purchase_count,0.008979063915644988,0.0005337236456968231
user_previous_avg_time_on_site,0.008528282367434189,0.0008853469727512185
user_days_since_first_session,0.0067692692962553255,0.0023351747328286855
totals_pageviews,0.00603242776049046,0.0015342773539852553
session_hour,0.005693296144896168,0.0010921901000901346
user_previous_sessions,0.005408967241531712,0.00041581991394841207
user_previous_bounce_rate,0.0026000051820497944,0.0009691676359169854
session_day_of_week,0.0009668233425288054,0.000824708312162952
is_first_session,0.0,0.0
session_month,0.0,0.0
is_bounce,-6.201919490023133e-06,2.963232834240855e-05
has_gclid,-0.00011911488289823025,0.0002115490377041793
has_traffic_campaign,-0.0001590709039775401,0.00043801644874366457
has_previous_purchase,-0.0009735034978971046,2.9231372310502562e-05
