feature,cls_gain,cls_split,cls_gain_pct,reg_gain,reg_split,reg_gain_pct
visit_number,11814070.349124908,214,39.27691433749764,3122.7724018096924,55,6.2484856557506525
totals_hits,7410809.5337257385,334,24.637887080909167,1291.1218004226685,35,2.583459507036995
device_category_model,3388217.9310035706,136,11.264428050630164,2047.9953842163086,19,4.097919455770512
channelGrouping_model,2298695.8219795227,251,7.642216121943194,1685.6546168327332,46,3.372896688764538
traffic_channel_type_model,1263512.005558014,165,4.200656618773047,96.42690086364746,5,0.19294461118134032
geo_country_model,1024185.3529319763,759,3.4049941454605186,1012.7328958511353,20,2.0264195268170813
has_referral_path,747377.1666793823,32,2.4847210221362994,239.42030143737793,9,0.47906607550393077
user_days_since_previous_purchase,436455.153842926,88,1.4510334866016559,810.3611497879028,28,1.6214854523156816
user_previous_purchase_count,210541.46607589722,38,0.6999635928329063,1084.9480657577515,34,2.1709178748323223
totals_pageviews,172358.85861206055,251,0.5730221612838302,331.76544189453125,11,0.6638433218989648
user_previous_total_revenue,143856.31761932373,88,0.47826296078053687,27278.06183719635,94,54.58181262509698
totals_new_visits,137992.13302612305,28,0.4587669641324826,41.618099212646484,1,0.08327539201996477
totals_time_on_site,136970.17784881592,390,0.4553693844017315,492.32966804504395,27,0.985122984594448
user_previous_bounce_rate,128454.53559112549,111,0.42705838390825157,906.1962585449219,38,1.8132459219671073
user_days_since_first_session,124792.53659820557,278,0.41488374667498235,1878.9561758041382,90,3.759681847288131
user_previous_avg_time_on_site,112999.08423614502,229,0.3756753786460648,1897.5396938323975,66,3.7968663842610044
session_hour,111806.31145477295,261,0.37170990079011823,419.1581974029541,19,0.8387111345177926
user_days_since_previous_session,108041.9896850586,213,0.3591950824998412,360.3951807022095,20,0.7211297613986845
user_previous_avg_pageviews,107432.86345291138,247,0.3571699888501711,1007.0115242004395,49,2.014971395448342
session_month,89753.35380554199,293,0.2983929064875182,1283.91725730896,58,2.5690436359744235
user_previous_sessions,44960.16148376465,117,0.14947400506453629,2125.957362174988,48,4.2539168319118055
session_day_of_week,33436.97267913818,154,0.11116415196571418,550.9020681381226,27,1.1023229449861802
has_traffic_campaign,11212.052139282227,20,0.037275451932175484,11.225199699401855,1,0.02246097066312024
is_bounce,10105.212997436523,8,0.03359566800716413,0.0,0,0.0
has_gclid,9730.607048034668,16,0.0323502576320631,0.0,0,0.0
has_previous_purchase,1148.7589950561523,4,0.0038191501582342,0.0,0,0.0
is_first_session,0.0,0,0.0,0.0,0,0.0
